wavelength,absorption cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
786.9,-1.35580396014883E-27,-2.06348513266945E-27,-1.82934499747487E-27,-1.72063358811205E-27,-1.87945003610812E-27,-2.02274921115598E-27,-1.92048569840849E-27,-2.00358967388108E-27,-1.5204308465844E-27,-2.0748261188416E-27,-1.62304309377175E-27,-1.57539743515389E-27,-2.12561640174464E-27,-2.20690975222929E-27,-2.03096785357785E-27,-1.58945619326347E-27,-1.78683536282798E-27,-1.89771679041652E-27,-1.20078548658068E-27,-1.78567571038855E-27,-1.65605671065545E-27,-1.48572732387704E-27,-1.19207931166473E-27,-1.5848894397059E-27,-1.73613464008597E-27,-1.2912823298993E-27,-1.51896274816284E-27,-1.63643457497544E-27,-1.19007764003703E-27,-1.62337730045018E-27,-1.16646467480037E-27,-1.22761044766182E-27,-1.09812069933533E-27,-1.16986929066241E-27
787,-1.32511676983242E-27,-1.76668252373481E-27,-1.53856601593762E-27,-1.68856520398827E-27,-1.59530699648986E-27,-1.98946092811337E-27,-2.14151887433686E-27,-1.47402473743377E-27,-1.48612650398813E-27,-2.0388519949053E-27,-1.58872554798633E-27,-1.54516324125031E-27,-1.83338313662833E-27,-1.68423236643493E-27,-2.25153052070996E-27,-1.30945911364736E-27,-2.01465893966836E-27,-1.61198109185796E-27,-1.44847602866142E-27,-1.488769453417E-27,-1.63093096647988E-27,-1.19027887425301E-27,-8.91937693421413E-28,-1.55772014787453E-27,-1.20538041928278E-27,-1.52308553937359E-27,-1.49390579236957E-27,-1.61229202493176E-27,-1.42412940696199E-27,-1.5981340215508E-27,-1.13782469350711E-27,-9.20945776814101E-28,-1.34051667300841E-27,-1.1380361131718E-27
787.1,-1.29443369711681E-27,-1.73729267286861E-27,-1.5095883234427E-27,-1.91445182349393E-27,-1.81313577222489E-27,-1.95617784179968E-27,-1.84609729879773E-27,-1.69135003138252E-27,-1.45182780036577E-27,-2.00288432530768E-27,-1.80368026017303E-27,-1.51493290094703E-27,-2.06532475426709E-27,-1.89991222268249E-27,-1.96557284684362E-27,-1.5303736297467E-27,-1.46638994737904E-27,-1.58462166816124E-27,-1.69601477289152E-27,-2.00217139932228E-27,-1.60581028239988E-27,-1.43268633855845E-27,-1.13551517457003E-27,-1.28388299179694E-27,-1.43591021827372E-27,-1.24261888088378E-27,-1.21613047163316E-27,-1.58815300012704E-27,-1.65804101004088E-27,-1.30563668539548E-27,-1.10918923758199E-27,-1.17043875873008E-27,-1.582755283809E-27,-8.10799353516947E-28
787.2,-1.27831521128582E-27,-1.6997127581166E-27,-1.20501305656291E-27,-1.3488428976463E-27,-1.75523435446214E-27,-1.40164710110185E-27,-1.79153938857202E-27,-1.3840719777927E-27,-1.38860468662723E-27,-1.69132028888397E-27,-1.24450256974014E-27,-1.46155724476552E-27,-1.4974961966727E-27,-1.59383292046904E-27,-1.65728105558813E-27,-1.47555925276211E-27,-1.41876760116598E-27,-1.54003569747724E-27,-1.39609845442688E-27,-1.42982822152622E-27,-1.57356067476185E-27,-1.13056947503943E-27,-8.31639559752439E-28,-1.22779346660817E-27,-1.13703513117814E-27,-9.42690879911613E-28,-9.15479693138655E-28,-1.28841467832123E-27,-8.26020574815961E-28,-1.27205591316333E-27,-1.0809273830751E-27,-8.66256471768034E-28,-1.54923390224928E-27,-7.98779443273945E-28
787.3,-1.2476403765562E-27,-1.93758905128543E-27,-1.17604586205273E-27,-1.83254998168225E-27,-1.72209087273267E-27,-1.61402444155325E-27,-1.75435986244424E-27,-1.60127622866268E-27,-1.60086172917232E-27,-1.65536553299412E-27,-1.70860350106878E-27,-1.17888096174105E-27,-1.99138606668306E-27,-1.56336044500169E-27,-1.6245977789209E-27,-1.44603347032933E-27,-1.64661469309874E-27,-1.77091699032536E-27,-1.09993271966425E-27,-1.40309201442828E-27,-1.54845011349898E-27,-1.10405973675678E-27,-1.07507357534835E-27,-1.20063890188136E-27,-1.11376628359327E-27,-9.18370067014304E-28,-1.39574729018316E-27,-1.52125301373004E-27,-1.06009121414015E-27,-1.2468239078604E-27,-1.32811228979233E-27,-8.37681262376388E-28,-1.23516801428053E-27,-1.06218252945471E-27
787.4,-1.18941819178447E-27,-2.1477674299348E-27,-1.11953244771351E-27,-1.77295317960205E-27,-1.41055103507458E-27,-1.79872826523434E-27,-1.68963473825848E-27,-1.5420592324421E-27,-1.53902848046695E-27,-1.83338511973925E-27,-1.39761814687463E-27,-1.37356436947617E-27,-1.40967567490054E-27,-1.50534050390891E-27,-1.56436872490543E-27,-1.6391507184482E-27,-1.58826509591472E-27,-1.19942032591896E-27,-1.04807619186324E-27,-1.61880848586077E-27,-1.22732430621691E-27,-1.31877614231458E-27,-1.01926168613434E-27,-1.3924822416358E-27,-1.57015298537562E-27,-8.665021496586E-28,-1.09056868054763E-27,-1.72640416418256E-27,-1.26647022305421E-27,-1.19404419133905E-27,-9.96127635960094E-28,-7.81558838158757E-28,-1.44971012778804E-27,-1.00281456335973E-27
787.5,-1.18630306918185E-27,-1.8788385079835E-27,-1.11812722589871E-27,-2.02613387143415E-27,-1.40496994995828E-27,-1.79301744885386E-27,-1.6800184289083E-27,-1.7866940523473E-27,-1.5323038172062E-27,-1.82499475469134E-27,-1.64001323439247E-27,-1.6232201840179E-27,-1.93112455074436E-27,-1.50242750937206E-27,-1.55924830615744E-27,-1.38700051280458E-27,-1.32637322255506E-27,-1.71623457303364E-27,-1.59488390460074E-27,-1.88948019481836E-27,-1.49824418001145E-27,-1.31982648166348E-27,-1.01855892618118E-27,-1.39288897007149E-27,-1.32090848620291E-27,-1.38187743125424E-27,-1.09308570140948E-27,-1.21602934248492E-27,-1.00116576555098E-27,-1.46347837978767E-27,-1.27087307031424E-27,-7.8054361127203E-28,-1.1632078560812E-27,-7.03329957255958E-28
787.6,-1.44562636538901E-27,-1.84946948773771E-27,-1.35097182805242E-27,-1.73643128726322E-27,-1.62269320740874E-27,-1.75976036506981E-27,-1.64285652472146E-27,-1.75503823596584E-27,-1.744449618591E-27,-1.78905938193771E-27,-1.60572557733508E-27,-1.59300912462243E-27,-1.63905872547274E-27,-1.47196705100652E-27,-1.77984512776643E-27,-1.35749334025935E-27,-1.81275583421288E-27,-1.43067086487749E-27,-1.29888666674817E-27,-1.59291759295437E-27,-1.47314880953689E-27,-1.56195064380698E-27,-1.26185584922434E-27,-1.6121654299262E-27,-1.55118384901233E-27,-1.35756971847232E-27,-1.3206439422695E-27,-1.44887826082648E-27,-1.23510883550657E-27,-1.43825765412758E-27,-1.24226025510046E-27,-7.51981171306335E-28,-1.68322724188864E-27,-9.66745562180771E-28
787.7,-1.4293338145266E-27,-1.81176917738608E-27,-1.04658297923424E-27,-1.94415816960627E-27,-1.31412892015532E-27,-1.45106582244252E-27,-1.58834753408158E-27,-1.19920059171358E-27,-1.1883258260877E-27,-1.71908415963654E-27,-1.29600024302068E-27,-1.28735926086345E-27,-1.59543544753287E-27,-1.16606793701216E-27,-1.47174196828787E-27,-1.0525497104305E-27,-1.50653857932924E-27,-1.12790001108243E-27,-1.27085223055139E-27,-1.29076276650439E-27,-1.17261584128163E-27,-1.52848429833774E-27,-9.5817133615006E-28,-1.06317156219532E-27,-1.50588442418034E-27,-1.05782371074147E-27,-1.27262949005527E-27,-1.40614880331658E-27,-1.19346924889676E-27,-8.70490822331779E-28,-9.38209307677128E-28,-1.2812329079296E-27,-1.09390603585747E-27,-9.54538910562461E-28
787.8,-1.39867959100859E-27,-1.78240849560161E-27,-1.01764204842343E-27,-1.65460712417768E-27,-1.28101276369858E-27,-1.41781914848358E-27,-1.29310768643654E-27,-1.41629851032171E-27,-1.15406663459181E-27,-1.68316171735717E-27,-1.51072793446619E-27,-1.00483665844269E-27,-1.30337716270941E-27,-1.13561549453964E-27,-1.43908717034669E-27,-1.27324324980071E-27,-1.4757718358885E-27,-1.35880733889303E-27,-1.24656405823342E-27,-1.26405661687826E-27,-1.14753060237329E-27,-1.2335272457881E-27,-1.20132516252214E-27,-1.03604156130346E-27,-1.2292342547197E-27,-7.77525959521313E-28,-9.95154901124226E-28,-1.38203447202172E-27,-9.00778503358263E-28,-1.11238482402615E-27,-6.33794246089493E-28,-9.75090853559309E-28,-1.05794722429385E-27,-3.32475373197116E-28
