wavelength,emission cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
851.9,-6.00789631812604E-28,-2.53841460273071E-28,4.99883266068564E-29,-1.17589202044337E-27,-1.99944990923183E-27,-3.0197145680148E-27,-1.90935363252284E-27,4.08240617988445E-28,9.09929371642142E-28,2.53352276114775E-29,2.84075531509811E-27,1.43735510757059E-27,9.1303341827028E-28,-1.33342114254187E-27,3.42499572190665E-27,-8.26429415790304E-28,-3.44967103882679E-28,7.09505992984443E-28,4.22874095357156E-27,2.31676426892313E-27,-1.70490941372693E-27,-3.54956220039957E-28,2.8875309845672E-27,3.98321963729947E-28,8.02709326058191E-28,7.61744605024451E-29,-2.92615592770726E-27,3.19381504532419E-27,5.54963771524744E-27,2.00696818655637E-28,-1.50915987124535E-27,5.46999850638296E-28,2.2040912931568E-27,-3.25892752285217E-28
852,-4.19689806169357E-27,2.58684547134849E-27,-2.28365816249227E-28,-4.02265845151606E-27,1.36925843491466E-27,-1.94648801065319E-27,-4.47476456672721E-28,5.37618238046032E-27,-3.58744428569818E-27,2.87414124137528E-27,-1.0789138864208E-27,-2.25281400186891E-27,1.17669834640353E-28,-5.70052097560307E-27,2.68048188115854E-27,-1.88162799003308E-27,-2.72058743570036E-27,-2.19599179741059E-27,5.36041864583587E-28,-2.54554694154629E-27,2.61744698537386E-27,5.56896395311666E-28,8.41120231700925E-28,-8.21028833668267E-28,-3.92467816253398E-28,-3.08513260966295E-27,-2.77821685568711E-27,3.02361948349795E-27,-1.74486660612379E-27,-6.83000224112594E-27,-1.00114807086702E-27,3.75931538281612E-27,-2.85925514889038E-27,7.25380458881368E-27
852.1,-2.45456198772204E-27,-3.17471891489218E-27,-1.26117227632625E-27,-4.69705706612541E-28,-4.92692888176665E-27,-1.52066558480923E-27,-1.21801640414875E-28,2.01172799099871E-27,-2.21878338613797E-27,3.78561166662751E-27,-6.41389115889771E-28,1.06800603270425E-27,4.44604294582854E-27,1.30638386804763E-27,-1.49767506781487E-27,1.65943200029174E-27,-4.85320495688496E-28,1.65327653767502E-27,-3.67331329610308E-27,2.0587612479311E-27,5.70936325443116E-28,1.57584255621196E-27,6.78856019128292E-27,-8.50536175731484E-28,2.28721624442775E-27,1.70408147753699E-27,-7.7510206542573E-27,-4.58478634079902E-27,-2.19196780098941E-27,-5.94488105309286E-29,-9.42563747964283E-29,-3.45898374659195E-29,-2.04497915859982E-28,-7.00645432976938E-27
852.2,1.35899851225577E-27,-7.95767804786099E-28,-2.54581484549873E-27,1.99918143143969E-27,-9.04802025112528E-28,-2.93007886506571E-27,-2.35218250997221E-28,-3.00155490872629E-29,-5.02926510231255E-28,-1.14171243368513E-27,1.25977042635899E-27,-1.3200271900533E-28,5.00842585776072E-27,3.27321631155778E-28,1.38578416742881E-27,5.15413252798563E-27,-1.28201588321126E-28,-2.11619178318293E-27,7.05662617803127E-28,-3.79748959471862E-27,4.25035684961698E-27,-2.65016136663563E-27,3.31803014711831E-27,-2.08184023174706E-27,1.74336923058452E-28,-1.68290448364861E-27,1.34471812975857E-27,5.66929645988335E-28,2.62637745080841E-27,-4.59851361985681E-28,-7.46538152704934E-27,-2.26090390044856E-27,-4.68415868818355E-27,4.60528235188359E-27
852.3,-4.70934775718608E-28,-3.53028762823939E-28,1.89661673527499E-27,-2.63841465652181E-28,-4.2573059935408E-28,-1.56178779427167E-27,5.64167816328507E-28,2.16614203878696E-27,1.84112861222815E-28,3.36641825549696E-28,1.54967207326969E-27,7.92052243610731E-28,7.21467135748279E-27,6.64646943213911E-28,4.24433583631958E-28,2.29607388016725E-27,3.0994905433988E-27,1.1035104076457E-27,-3.25621185949764E-27,-1.95975254433543E-27,-3.03958260822119E-27,-6.37104767938455E-27,-1.8877515155252E-27,-5.00130849311862E-27,8.68066021159594E-28,9.36812739569952E-28,2.5424498004238E-27,-1.00569247982094E-26,1.02271274518881E-27,7.27328771568435E-27,4.55344589578287E-27,-1.10760105016026E-27,-8.93220283099934E-28,2.65926622282311E-27
852.4,-7.71315231155308E-27,-3.31930629291525E-28,2.82346937415373E-27,-5.23001183316804E-28,-3.1397986666151E-27,-2.45624870589041E-27,-1.10328174196292E-27,-3.73599315529944E-27,2.39346592206023E-27,9.16496612771045E-28,1.62009606631574E-27,-2.75735845006332E-27,4.48502818194619E-27,2.78915246255743E-28,-1.18231676836206E-27,4.85895728044763E-27,-1.1821365772078E-27,-1.2264497388351E-27,1.45650417654195E-27,3.28128471546379E-27,-1.55361521028348E-27,-1.08088028298011E-27,-1.51637558129001E-27,-6.55981256491947E-30,1.32686014034668E-27,4.6704327639835E-27,-4.25485528953094E-27,-3.35996580223122E-27,1.90068521996517E-27,4.31221315515512E-27,5.10124375405241E-28,-7.55257962599425E-27,1.44293044656182E-27,5.05817146259748E-27
852.5,1.58882622251852E-27,5.42468174691622E-28,-1.14171602387255E-27,2.04891661310886E-27,2.22003698534455E-28,-2.78941483263032E-27,3.14722359045798E-27,2.43556427045954E-27,-1.46904712064703E-27,1.1723240293683E-27,1.19511186596699E-27,-1.00135012721078E-27,7.49043232088992E-27,-1.49175480238471E-27,-2.48191084145068E-28,-4.21640346483846E-27,3.82893398611934E-27,-3.23599450580538E-27,-1.12431190810467E-27,2.52116567237464E-27,2.77726115818324E-27,-1.56064432114712E-27,-2.36131824134456E-27,-4.5796384239157E-27,-1.40354296390907E-27,-1.14473207958569E-27,-1.06247281423404E-27,-2.816270245336E-27,1.39387932659963E-27,-2.87343496162801E-27,1.73370676017931E-27,-5.06771371127558E-27,6.98216201596034E-27,5.60702191032537E-27
852.6,-8.55251459796779E-28,4.692818273108E-27,-2.33178702500503E-27,3.43374769420248E-27,2.49999313518126E-27,-3.76493932767959E-27,3.68416425988158E-27,8.75102079215135E-29,-6.90676591940135E-27,-5.04692713853784E-28,2.81755180720808E-27,-3.3134567600144E-27,5.95734876185944E-27,-4.7912203855892E-27,2.69374772309302E-28,1.69077791479461E-27,3.31114016856774E-27,4.65263045039351E-28,2.81576392875412E-28,1.91757670418361E-27,3.92578862157101E-27,6.58400945080224E-28,8.50699519202498E-28,-6.20301467658332E-27,-2.08493839534078E-27,1.70697692499815E-27,-5.87627287034152E-27,-6.32631881240601E-27,2.72121640758326E-27,6.27668154271131E-27,-1.74483725844829E-27,-5.68630919856916E-27,-9.12711494588578E-27,-9.47014066104814E-28
852.7,-2.40466897104776E-27,3.04593921746784E-27,-2.02092732543636E-27,-4.0862451418615E-27,9.33299250473451E-28,-7.74366809592629E-27,-1.70227493925606E-27,1.89963880926967E-27,-2.40923649771556E-27,-4.55261089022523E-27,7.35731460555326E-28,2.43128662349192E-27,-9.20626091703778E-28,1.85337127593161E-27,1.65350392399819E-27,1.14380233859095E-27,3.1463367349852E-27,4.94988994678261E-27,2.34904698543917E-27,1.21876922011723E-27,1.66761388542859E-27,9.84035346639274E-28,-3.63148599312803E-28,-3.02803168223569E-27,2.19071013458532E-27,-4.6898382561531E-27,3.66166687173553E-27,-2.62338973593304E-27,1.73948903498013E-27,1.06413146961306E-28,3.92748860179406E-27,-1.79205632401239E-27,2.88643249376473E-27,4.84460999628794E-27
852.8,-1.65156720055696E-27,3.07066982067036E-27,2.23270240401063E-27,1.91185379965165E-27,-3.78486713995608E-27,1.95768903892059E-27,-1.70731077963615E-27,-4.70628757908555E-27,-1.50162919924698E-27,-2.84148511186805E-28,-3.03102390931054E-27,-1.4504596155907E-28,4.15800188698378E-27,-1.03755176392276E-27,6.84250556168809E-28,4.63756470350415E-28,2.47729399013933E-27,-6.88150959529299E-27,-4.29036114092598E-27,-2.42653614537345E-28,2.7655034433213E-27,1.01169473039029E-27,3.31039644869965E-27,-1.30361464913685E-27,2.79565419160651E-27,5.11191025214252E-27,6.42488625269932E-27,-6.02722604136336E-27,9.07535218817556E-27,-1.75551471387345E-27,-2.37940768077234E-27,-5.14995837609429E-27,4.78916299369182E-27,7.84424840353971E-27
